;Title, http://www.gcdataconcepts.com, LSM6DSM, BMP384, GPS
;Version, 2585, Build date, Feb  9 2024,  SN:CCDC20234ECBE41
;Start_time, 2024-07-22, 19:19:37.275
;Uptime, 5,sec,  Vbat, 4076, mv, EOL, 3500, mv
;Deadband, 0, counts
;DeadbandTimeout, 0.000,sec
;BMP384, SI, 0.100,sec, Units, Pa, mdegC
;Alt Trigger disabled
;LSM6DSM, SR,104,Hz, Units, mG, mdps, fullscale gyro 250dps, accel 4g
;Magnetometer, SR,10,Hz, Units, nT, Temperature, 31,degC
;CAM_M8 Gps, SR,10,Hz
;Gps Sats, TOW, 155995000, ver, 1, numSat, 24
;, gnssId, svId, cno, elev, azmith, prRes, flags,inUse
1721675979.903529,-23,109,1020,6808,4095,2327
1721675979.912825,-16,155,1016,7342,5197,3657
1721675979.922121,5,162,1006,9617,6632,4480
1721675979.931417,43,126,986,12487,8286,3692
1721675979.940713,85,88,981,15383,9415,5538
1721675979.950043,122,38,983,17492,9922,7840,610,-38922,71899,84554,34043, 156002.900, 40.0104858,-105.2442794, 1627.876,1649.204, 20.975,25.634
1721675979.959339,125,-28,985,18804,9607,7446
1721675979.968635,107,-100,998,19609,8583,6055
1721675979.977931,95,-164,1001,19627,7603,5136
1721675979.987227,66,-226,1000,18673,7148,4217
1721675979.996523,6,-279,1000,16792,7017,2397
1721675980.005819,-33,-247,1004,13904,7507,157
1721675980.015115,-2,-97,1029,10378,8995,2406
1721675980.024414,46,-17,1049,7604,10718,6545,1611,-39892,71380
1721675980.033710,98,-9,1052,6904,12110,5110
1721675980.043006,126,-53,1046,7455,12880,2371
1721675980.052302,139,-100,1045,8112,12626,1076
1721675980.061598,147,-106,1049,8077,11751,726
1721675980.070894,145,-75,1053,7394,10675,761
1721675980.080190,138,-56,1049,7035,9406,411
1721675980.089486,122,-54,1041,7473,8093,-368
1721675980.098786,97,-64,1032,8287,6877,-884,2362,-40582,70812,84560,34043, 156003.000, 40.0104862,-105.2442757, 1628.422,1649.750, 19.211,23.280
1721675980.108082,92,-63,1023,9004,6046,-762
1721675980.117378,104,-52,1012,9372,5810,218
1721675980.126674,115,-51,1006,9494,5748,743
1721675980.135970,119,-50,1009,9835,5495,148
1721675980.145266,113,-50,1013,10063,4943,-683
1721675980.154562,92,-64,1024,10220,4348,-1847
1721675980.163858,94,-84,1030,10500,3867,-1794
1721675980.173157,103,-125,1030,10745,3841,-167,3021,-41186,70343,84561,34037, 156003.100, 40.0104832,-105.2442760, 1628.288,1649.616, 17.740,21.270
1721675980.182453,100,-149,1028,10649,3841,1767
1721675980.191749,117,-143,1023,9975,3771,4191
1721675980.201045,138,-134,1019,8873,3946,5941
1721675980.210341,157,-143,1017,7735,3832,6483
1721675980.219637,164,-156,1018,6510,3290,5503
1721675980.228933,154,-152,1020,4935,2458,3771
1721675980.238229,149,-143,1022,3054,1723,2520
1721675980.247529,145,-109,1023,1190,1190,1741,,,,84567,34039, 156003.200, 40.0104870,-105.2442793, 1628.345,1649.673, 16.561,19.682
1721675980.256825,131,-87,1020,-297,673,1312
1721675980.266121,122,-87,1024,-936,87,166
1721675980.275417,111,-79,1026,-866,-473,-1558
1721675980.284713,104,-93,1016,-577,-919,-2940
1721675980.294009,97,-113,1014,-376,-1007,-3500
1721675980.303305,126,-112,1009,-603,-543,-4209
1721675980.312601,149,-126,1013,-1330,183,-4218
1721675980.321900,163,-121,1014,-2196,428,-4743,3192,-41247,70263
1721675980.331196,162,-121,1017,-3088,61,-4769
1721675980.340492,152,-117,1018,-3797,-700,-4227
1721675980.349788,158,-107,1019,-4313,-1330,-4227
1721675980.359084,150,-92,1020,-4786,-1829,-4454
1721675980.368380,127,-75,1024,-5013,-2634,-4953
1721675980.377676,98,-66,1029,-4856,-3483,-5889
1721675980.386972,80,-77,1029,-4366,-3982,-6904
1721675980.396271,76,-90,1022,-3622,-3947,-7298,2899,-40924,70532,84554,34037, 156003.300, 40.0104840,-105.2442777, 1627.099,1648.427, 15.803,18.515
1721675980.405567,99,-96,1012,-3141,-3562,-6458
1721675980.414863,121,-98,1003,-2931,-2923,-5049
1721675980.424159,132,-96,1002,-2782,-2590,-4052
1721675980.433455,129,-85,1002,-2817,-2739,-3299
1721675980.442751,125,-72,1002,-2922,-3133,-2923
1721675980.452047,120,-63,1004,-2791,-3500,-3098
1721675980.461343,116,-61,1003,-2546,-3807,-3500
1721675980.470643,112,-73,1001,-2100,-3973,-4043,2655,-40985,70489,84556,34037, 156003.400, 40.0104834,-105.2442778, 1626.193,1647.521, 14.874,17.356
1721675980.479939,107,-82,1004,-1601,-4235,-4717
1721675980.489235,103,-82,1009,-1338,-4402,-5215
1721675980.498531,102,-81,1010,-1242,-4402,-5600
1721675980.507827,103,-88,1007,-1198,-4279,-5425
1721675980.517123,99,-105,1011,-1111,-4017,-4909
1721675980.526419,106,-85,1007,-1242,-3754,-4752
1721675980.535715,112,-90,999,-1540,-3369,-3947
1721675980.545014,114,-113,995,-1662,-2975,-3229,2404,-40820,70617,84556,34037, 156003.500, 40.0104743,-105.2442763, 1624.759,1646.087, 14.117,16.340
1721675980.554310,125,-124,992,-1890,-2704,-3474
1721675980.563606,127,-111,997,-2415,-2695,-3063
1721675980.572902,130,-78,998,-3097,-2949,-2914
1721675980.582198,116,-68,1002,-3500,-3229,-2625
1721675980.591494,99,-74,1004,-3377,-3448,-3045
1721675980.600790,94,-78,999,-3106,-3518,-4384
1721675980.610086,89,-72,998,-2983,-3369,-5460
1721675980.619385,84,-65,1002,-3010,-3194,-6073
1721675980.628681,80,-68,1001,-2870,-2914,-6213
1721675980.637977,80,-88,1000,-2668,-2372,-6388
1721675980.647273,85,-82,1000,-2388,-1847,-6082
1721675980.656569,92,-61,1001,-2327,-1374,-5023
1721675980.665865,104,-46,999,-2248,-954,-4410
1721675980.675161,116,-49,996,-1846,-595,-4104
1721675980.684457,114,-69,1001,-1190,-622,-4340
1721675980.693757,116,-72,1004,-481,-989,-5128,2209,-40631,70672,84555,34039, 156003.600, 40.0104675,-105.2442734, 1623.378,1644.706, 13.586,15.536
1721675980.703053,110,-72,1005,9,-1322,-5723
1721675980.712349,106,-75,1002,482,-1689,-5189
1721675980.721645,103,-92,1003,1033,-1899,-4900
1721675980.730941,102,-101,1006,1392,-1960,-4594
1721675980.740237,105,-75,1010,1339,-2022,-4699
1721675980.749533,90,-67,1013,1138,-2074,-4025
1721675980.758829,81,-78,1016,1322,-2030,-3824
1721675980.768128,88,-86,1019,1680,-1689,-3859,2038,-40753,70538,84560,34046, 156003.700, 40.0104611,-105.2442709, 1622.520,1643.848, 13.110,14.822
1721675980.777424,100,-93,1016,1960,-1269,-3325
1721675980.786720,111,-98,1012,2118,-989,-3054
1721675980.796016,113,-96,1010,2162,-1042,-2862
1721675980.805312,113,-93,1008,2118,-1348,-2748
1721675980.814608,112,-96,1007,1960,-1637,-2870
1721675980.823904,111,-100,1006,1803,-1829,-2905
1721675980.833200,112,-87,1006,1532,-1987,-2687
1721675980.842499,98,-91,1010,1278,-2109,-2739,1947,-40802,70306,84562,34054, 156003.800, 40.0104532,-105.2442678, 1621.404,1642.732, 12.760,14.316
1721675980.851795,91,-98,1012,1243,-2328,-2993
1721675980.861091,97,-93,1012,1050,-2170,-3168
1721675980.870387,101,-88,1012,613,-1829,-3150
1721675980.879683,109,-81,1014,377,-1575,-3203
1721675980.888979,111,-81,1015,184,-1479,-3343
1721675980.898275,107,-84,1016,228,-1619,-3483
1721675980.907571,104,-97,1017,447,-1855,-3509
1721675980.916871,106,-104,1016,700,-2065,-3535,1831,-41015,70208
1721675980.926167,112,-101,1014,683,-2135,-3212
1721675980.935463,113,-99,1013,595,-2109,-2608
1721675980.944759,108,-101,1009,403,-2310,-2380
1721675980.954055,105,-100,1009,280,-2372,-2267
1721675980.963351,103,-93,1010,-122,-2258,-2179
1721675980.972647,98,-89,1014,-490,-2205,-2337
1721675980.981943,87,-83,1017,-778,-2048,-2809
1721675980.991242,87,-80,1013,-945,-1838,-3098,,,,84558,34054, 156003.900, 40.0104449,-105.2442629, 1619.765,1641.093, 12.329,13.792
1721675981.000538,96,-76,1013,-927,-1479,-3317
1721675981.009834,103,-77,1015,-752,-1120,-3544
1721675981.019130,106,-95,1016,-411,-963,-3780
1721675981.028426,106,-114,1019,-52,-1042,-3815
1721675981.037722,105,-122,1021,105,-1182,-3710
1721675981.047018,106,-112,1023,-8,-1260,-3369
1721675981.056314,107,-108,1025,-411,-1339,-2897
1721675981.065613,109,-108,1024,-796,-1313,-2494,1702,-41119,70214,84559,34059, 156004.000, 40.0104364,-105.2442582, 1618.160,1639.488, 11.957,13.339
1721675981.074909,107,-105,1024,-1067,-1383,-2144
1721675981.084205,105,-95,1026,-1391,-1505,-2039
1721675981.093501,101,-95,1025,-1645,-1663,-2127
1721675981.102797,102,-104,1023,-1741,-1724,-2415
1721675981.112093,111,-110,1020,-1820,-1698,-2573
1721675981.121389,120,-111,1013,-2073,-1680,-2310
1721675981.130685,124,-108,1011,-2345,-1847,-2135
1721675981.139985,118,-101,1014,-2660,-2162,-2354,1531,-41125,70281,84562,34054, 156004.100, 40.0104289,-105.2442544, 1616.756,1638.084, 11.605,12.909
