;Title, http://www.gcdataconcepts.com, LSM6DSM, BMP384, GPS
;Version, 2585, Build date, Feb  9 2024,  SN:CCDC2023B942042
;Start_time, 2024-07-22, 19:42:40.133
;Uptime, 5,sec,  Vbat, 4072, mv, EOL, 3500, mv
;Deadband, 0, counts
;DeadbandTimeout, 0.000,sec
;BMP384, SI, 0.100,sec, Units, Pa, mdegC
;Alt Trigger disabled
;LSM6DSM, SR,104,Hz, Units, mG, mdps, fullscale gyro 250dps, accel 4g
;Magnetometer, SR,10,Hz, Units, nT, Temperature, 30,degC
;CAM_M8 Gps, SR,10,Hz
;Gps Sats, TOW, 157376000, ver, 1, numSat, 21
;, gnssId, svId, cno, elev, azmith, prRes, flags,inUse
1721677362.499329,-23,-65,1036,1654,-2940,-893,-23089,16510,72387,84549,32635, 157383.400, 40.0101375,-105.2443892, 1594.459,1615.787, 32.853,36.172
1721677362.508579,-25,-68,1032,525,-3308,-1059
1721677362.517829,-20,-71,1023,-402,-3308,-980
1721677362.527079,-22,-64,1017,-910,-3045,-832
1721677362.536329,-31,-64,1013,-1338,-2765,-937
1721677362.545579,-36,-65,1008,-1461,-2293,-1313
1721677362.554829,-35,-65,1004,-1400,-1777,-1829
1721677362.564079,-35,-60,999,-1400,-1322,-2293
1721677362.573334,-26,-67,1001,-1487,-954,-2582,-23156,16571,72338,,, 157383.500, 40.0101400,-105.2443871, 1595.438,1616.766, 30.708,33.046
1721677362.582584,-18,-70,1008,-1321,-770,-2678
1721677362.591834,-23,-61,1016,-1356,-814,-2354
1721677362.601084,-25,-47,1022,-1732,-1033,-1908
1721677362.610334,-23,-48,1029,-2082,-1190,-1750
1721677362.619584,-13,-51,1030,-2021,-1199,-1584
1721677362.628834,-2,-39,1027,-1828,-954,-1287
1721677362.638084,-5,-35,1015,-1758,-779,-1024
1721677362.647339,-17,-43,1006,-1513,-762,-998,-23065,16375,72265,84549,32635, 157383.600, 40.0101382,-105.2443830, 1594.374,1615.702, 28.787,30.304
1721677362.656589,-25,-50,1005,-1181,-779,-735
1721677362.665839,-31,-55,1007,-980,-753,-447
1721677362.675089,-34,-55,1011,-1015,-727,-385
1721677362.684339,-25,-55,1015,-1111,-657,-342
1721677362.693589,-24,-57,1018,-1233,-368,-464
1721677362.702839,-20,-52,1022,-1338,-53,-648
1721677362.712089,-10,-50,1022,-1452,157,-560
1721677362.721344,-13,-47,1021,-1557,350,-438,-23065,16345,72222,84543,32646
1721677362.730594,-14,-53,1021,-1548,350,-298
1721677362.739844,-13,-50,1020,-1522,245,-62
1721677362.749094,-19,-46,1018,-1548,-9,113
1721677362.758344,-23,-46,1018,-1400,-359,96
1721677362.767594,-18,-53,1017,-1242,-622,-123
1721677362.776844,-24,-49,1018,-945,-700,-298
1721677362.786094,-18,-45,1016,-743,-1024,-245
1721677362.795349,-14,-49,1017,-700,-1295,-342,-23187,16601,72192,84542,32642, 157383.700, 40.0101494,-105.2443821, 1593.785,1615.113, 27.638,29.475
1721677362.804599,-13,-54,1021,-586,-1532,-543
1721677362.813849,-10,-61,1022,-376,-1812,-525
1721677362.823099,-14,-61,1022,-288,-2179,-473
1721677362.832349,-17,-61,1026,-358,-2625,-630
1721677362.841599,-19,-66,1026,-437,-3089,-884
1721677362.850849,-18,-71,1020,-411,-3395,-1138
1721677362.860099,-23,-74,1012,-481,-3518,-1339
1721677362.869354,-31,-66,1003,-761,-3588,-1663,,,,,, 157383.800, 40.0101711,-105.2443748, 1594.170,1615.498, 26.228,27.756
1721677362.878604,-34,-74,1007,-1041,-3614,-2048
1721677362.887854,-34,-66,1011,-1163,-3343,-2617
1721677362.897104,-34,-55,1017,-1391,-3115,-3080
1721677362.906354,-26,-46,1024,-1758,-2800,-3212
1721677362.915604,-20,-44,1034,-1837,-2459,-3133
1721677362.924854,-16,-37,1042,-1793,-2293,-2634
1721677362.934104,-10,-37,1047,-1645,-1952,-1917
1721677362.943360,-9,-38,1053,-1382,-1707,-1225,-23297,16778,72045,84546,32642
1721677362.952610,-11,-45,1053,-1137,-1637,-788
1721677362.961860,-5,-49,1046,-953,-1427,-517
1721677362.971110,-8,-49,1039,-875,-1164,-377
1721677362.980360,-22,-49,1041,-945,-1182,-219
1721677362.989610,-19,-48,1041,-1015,-1234,-27
1721677362.998860,-18,-46,1036,-962,-937,-140
1721677363.008110,-33,-39,1034,-735,-727,-543
1721677363.017365,-35,-31,1034,-560,-569,-613,-23309,16705,71984,84546,32651, 157383.900, 40.0101876,-105.2443701, 1594.347,1615.675, 24.759,26.091
1721677363.026615,-30,-33,1032,-297,-140,-455
1721677363.035865,-27,-33,1027,210,245,-403
1721677363.045115,-33,-38,1024,753,621,-552
1721677363.054365,-36,-38,1024,1313,796,-534
